dataset,plane_idx,normal_x,normal_y,normal_z,d,inlier_count,inlier_ratio,total_points
case10_3planes_60_20_20,2,0.0013466499493951637,-0.9999951589823368,0.0028050928335428744,-0.00786480713535801,3855,0.19275,20000
case10_3planes_60_20_20,3,0.010936408382163256,0.003635909079056016,0.9999335853629817,-0.10317954005929131,3623,0.18115,20000
case10_3planes_60_20_20,4,-0.9995425582889705,0.030240874884806767,0.00040454337401196706,-0.13176707006086544,2122,0.1061,20000
case11_3planes_70_15_15,1,-0.9999754853700724,-0.00043855687288364627,0.006988299275024242,-0.010485500955232131,7678,0.3839,20000
case11_3planes_70_15_15,2,-0.9968725816116628,0.01690931292215439,0.07719540897876831,-0.44264150293560883,5949,0.29745,20000
case11_3planes_70_15_15,3,0.007932701268231172,0.00786439378272843,0.9999376098342432,-0.10035574177105024,2594,0.1297,20000
case11_3planes_70_15_15,4,0.040408992686526896,0.9987173426900652,0.030508731867370634,-0.38518966120525366,1747,0.08735,20000
case11_3planes_70_15_15,5,0.004227804989844906,0.9999779223204259,0.005126454592807037,-0.06317072877699996,1131,0.05655,20000
case12_3planes_80_10_10,1,0.9987897440487454,-0.020940250016670554,0.04450340562564767,-0.14511666988262253,9640,0.482,20000
case12_3planes_80_10_10,2,0.9999940804201871,0.003331263110435441,0.0008612843162897115,-0.021115241673269565,5913,0.29565,20000
case12_3planes_80_10_10,3,0.002267166914528473,-0.9999889788458033,0.004111221364697254,-0.008283876160991174,1948,0.0974,20000
case12_3planes_80_10_10,4,-0.03514130319480339,0.035037818953119096,0.998767961066423,-0.02783801609876449,1233,0.06165,20000
case12_3planes_80_10_10,5,0.0,0.0,1.0,-0.0,675,0.03375,20000
case13_3planes_90_05_05,1,0.9999612411159987,-0.005828114555465926,0.0065991928657711755,-0.0335732099382946,17239,0.86195,20000
case13_3planes_90_05_05,2,0.005657698934775624,-0.9999289469468406,0.010492449692312418,-0.04946187934251256,838,0.0419,20000
case13_3planes_90_05_05,3,0.017538258050493038,-0.021917447194205613,0.9996059398648267,-0.016943980758237505,663,0.03315,20000
case13_3planes_90_05_05,4,-0.9998533790410794,0.015498937224906806,-0.007280340997088947,-0.011275581738668806,365,0.01825,20000
